                           Open                 High                  Low                Close               Volume          Ex-Dividend          Split Ratio            Adj. Open            Adj. High             Adj. Low           Adj. Close          Adj. Volume
Date                                                                                                                                                                                                                                                                  
2004-08-19               100.01               104.06                95.96               100.33        44,659,000.00                 0.00                 1.00                50.16                52.19                48.13                50.32        44,659,000.00
2004-08-20               101.01               109.08               100.50               108.31        22,834,300.00                 0.00                 1.00                50.66                54.71                50.41                54.32        22,834,300.00
2004-08-23               110.76               113.48               109.05               109.40        18,256,100.00                 0.00                 1.00                55.55                56.92                54.69                54.87        18,256,100.00
2004-08-24               111.24               111.60               103.57               104.87        15,247,300.00                 0.00                 1.00                55.79                55.97                51.95                52.60        15,247,300.00
2004-08-25               104.76               108.00               103.88               106.00         9,188,600.00                 0.00                 1.00                52.54                54.17                52.10                53.16         9,188,600.00
2004-08-26               104.95               107.95               104.66               107.91         7,094,800.00                 0.00                 1.00                52.64                54.14                52.49                54.12         7,094,800.00
2004-08-27               108.10               108.62               105.69               106.15         6,211,700.00                 0.00                 1.00                54.22                54.48                53.01                53.24         6,211,700.00
2004-08-30               105.28               105.49               102.01               102.01         5,196,700.00                 0.00                 1.00                52.80                52.91                51.16                51.16         5,196,700.00
2004-08-31               102.32               103.71               102.16               102.37         4,917,800.00                 0.00                 1.00                51.32                52.02                51.24                51.34         4,917,800.00
2004-09-01               102.70               102.97                99.67               100.25         9,138,200.00                 0.00                 1.00                51.51                51.64                49.99                50.28         9,138,200.00
2004-09-02                99.09               102.37                98.94               101.51        15,118,600.00                 0.00                 1.00                49.70                51.34                49.62                50.91        15,118,600.00
2004-09-03               100.95               101.74                99.32               100.01         5,152,400.00                 0.00                 1.00                50.63                51.03                49.81                50.16         5,152,400.00
2004-09-07               101.01               102.00                99.61               101.58         5,847,500.00                 0.00                 1.00                50.66                51.16                49.96                50.95         5,847,500.00
2004-09-08               100.74               103.03               100.50               102.30         4,985,600.00                 0.00                 1.00                50.53                51.67                50.41                51.31         4,985,600.00
2004-09-09               102.50               102.71               101.00               102.31         4,061,700.00                 0.00                 1.00                51.41                51.51                50.66                51.31         4,061,700.00
2004-09-10               101.47               106.56               101.30               105.33         8,698,800.00                 0.00                 1.00                50.89                53.44                50.81                52.83         8,698,800.00
2004-09-13               106.63               108.41               106.46               107.50         7,844,100.00                 0.00                 1.00                53.48                54.37                53.39                53.92         7,844,100.00
2004-09-14               107.44               112.00               106.79               111.49        10,828,900.00                 0.00                 1.00                53.89                56.17                53.56                55.92        10,828,900.00
2004-09-15               110.56               114.23               110.20               112.00        10,713,000.00                 0.00                 1.00                55.45                57.29                55.27                56.17        10,713,000.00
2004-09-16               112.34               115.80               111.65               113.97         9,266,300.00                 0.00                 1.00                56.34                58.08                56.00                57.16         9,266,300.00
2004-09-17               114.42               117.49               113.55               117.49         9,472,500.00                 0.00                 1.00                57.39                58.93                56.95                58.93         9,472,500.00
2004-09-20               116.95               121.60               116.77               119.36        10,628,700.00                 0.00                 1.00                58.66                60.99                58.57                59.86        10,628,700.00
2004-09-21               120.20               120.42               117.51               117.84         7,228,700.00                 0.00                 1.00                60.29                60.40                58.94                59.10         7,228,700.00
2004-09-22               117.45               119.67               116.81               118.38         7,581,200.00                 0.00                 1.00                58.91                60.02                58.59                59.37         7,581,200.00
2004-09-23               118.84               122.63               117.02               120.82         8,535,600.00                 0.00                 1.00                59.60                61.50                58.69                60.60         8,535,600.00
2004-09-24               120.97               124.10               119.76               119.83         9,123,400.00                 0.00                 1.00                60.67                62.24                60.07                60.10         9,123,400.00
2004-09-27               119.56               120.88               117.80               118.26         7,066,100.00                 0.00                 1.00                59.97                60.63                59.08                59.31         7,066,100.00
2004-09-28               121.15               127.40               120.21               126.86        16,929,000.00                 0.00                 1.00                60.76                63.90                60.29                63.63        16,929,000.00
2004-09-29               126.53               135.02               126.23               131.08        30,516,400.00                 0.00                 1.00                63.46                67.72                63.31                65.74        30,516,400.00
2004-09-30               129.90               132.30               129.00               129.60        13,758,000.00                 0.00                 1.00                65.15                66.35                64.70                65.00        13,758,000.00
2004-10-01               130.80               134.24               128.90               132.58        15,124,800.00                 0.00                 1.00                65.60                67.33                64.65                66.50        15,124,800.00
2004-10-04               135.28               136.87               134.03               135.06        13,022,700.00                 0.00                 1.00                67.85                68.65                67.22                67.74        13,022,700.00
2004-10-05               134.66               138.53               132.24               138.37        14,973,200.00                 0.00                 1.00                67.54                69.48                66.32                69.40        14,973,200.00
2004-10-06               137.67               138.45               136.00               137.08        13,381,400.00                 0.00                 1.00                69.05                69.44                68.21                68.75        13,381,400.00
2004-10-07               136.56               139.88               136.55               138.85        14,115,000.00                 0.00                 1.00                68.49                70.16                68.49                69.64        14,115,000.00
2004-10-08               138.73               139.68               137.02               137.73        11,069,500.00                 0.00                 1.00                69.58                70.06                68.72                69.08        11,069,500.00
2004-10-11               137.01               138.86               133.85               135.26        10,472,100.00                 0.00                 1.00                68.72                69.64                67.13                67.84        10,472,100.00
2004-10-12               134.49               137.61               133.40               137.40        11,665,500.00                 0.00                 1.00                67.45                69.02                66.91                68.91        11,665,500.00
2004-10-13               143.24               143.55               140.08               140.90        19,766,200.00                 0.00                 1.00                71.84                72.00                70.26                70.67        19,766,200.00
2004-10-14               141.02               142.38               138.56               142.00        10,442,100.00                 0.00                 1.00                70.73                71.41                69.49                71.22        10,442,100.00
2004-10-15               144.95               145.50               141.95               144.11        13,194,700.00                 0.00                 1.00                72.70                72.98                71.19                72.28        13,194,700.00
2004-10-18               143.12               149.20               141.21               149.16        14,036,300.00                 0.00                 1.00                71.78                74.83                70.82                74.81        14,036,300.00
2004-10-19               150.50               152.40               147.35               147.94        18,109,800.00                 0.00                 1.00                75.48                76.44                73.90                74.20        18,109,800.00
2004-10-20               147.94               148.99               139.60               140.49        22,722,600.00                 0.00                 1.00                74.20                74.73                70.02                70.46        22,722,600.00
2004-10-21               144.13               150.13               141.62               149.38        29,149,800.00                 0.00                 1.00                72.29                75.30                71.03                74.92        29,149,800.00
2004-10-22               170.44               180.17               164.08               172.43        73,710,000.00                 0.00                 1.00                85.48                90.36                82.29                86.48        73,710,000.00
2004-10-25               176.28               194.43               172.55               187.40        65,462,800.00                 0.00                 1.00                88.41                97.52                86.54                93.99        65,462,800.00
2004-10-26               186.45               192.64               180.00               181.80        44,569,500.00                 0.00                 1.00                93.51                96.62                90.28                91.18        44,569,500.00
2004-10-27               182.51               189.52               181.77               185.97        26,686,200.00                 0.00                 1.00                91.54                95.05                91.17                93.27        26,686,200.00
2004-10-28               186.63               194.39               185.60               193.30        29,663,900.00                 0.00                 1.00                93.60                97.50                93.09                96.95        29,663,900.00
2004-10-29               198.87               199.95               190.60               190.64        42,282,600.00                 0.00                 1.00                99.74               100.28                95.60                95.62        42,282,600.00
2004-11-01               193.50               197.67               191.27               196.03        24,425,300.00                 0.00                 1.00                97.05                99.14                95.93                98.32        24,425,300.00
2004-11-02               198.73               199.25               193.34               194.87        22,669,900.00                 0.00                 1.00                99.67                99.93                96.97                97.74        22,669,900.00
2004-11-03               198.19               201.60               190.75               191.67        27,749,600.00                 0.00                 1.00                99.40               101.11                95.67                96.13        27,749,600.00
2004-11-04               188.25               190.40               183.35               184.70        28,790,300.00                 0.00                 1.00                94.42                95.49                91.96                92.64        28,790,300.00
2004-11-05               182.00               182.30               168.55               169.35        39,626,500.00                 0.00                 1.00                91.28                91.43                84.54                84.94        39,626,500.00
